bus_id,stop_id,Arr_Time,Dep_Time,Freq,From,To,Station_Order,Stop_Timings,S_No
"=""110""","Highfield Road, Impington",,,,"Highfield Road, Impington","Market Street, Ely",1,,1
"=""110""","Pepys Terrace, Impington",,,,"Highfield Road, Impington","Market Street, Ely",2,,
"=""110""","Chivers Way, Impington",,,,"Highfield Road, Impington","Market Street, Ely",3,,
"=""110""","Poplar Road, Histon",,,,"Highfield Road, Impington","Market Street, Ely",4,,
"=""110""","Macfarlane Close, Impington",,,,"Highfield Road, Impington","Market Street, Ely",5,,
"=""110""","Village College, Impington",,,,"Highfield Road, Impington","Market Street, Ely",6,,
"=""110""","Hereward Close, Impington",,,,"Highfield Road, Impington","Market Street, Ely",7,,
"=""110""","Pepys Terrace, Impington",,,,"Highfield Road, Impington","Market Street, Ely",8,,
"=""110""","School Hill, Histon",,,,"Highfield Road, Impington","Market Street, Ely",9,,
"=""110""","Winders Lane, Histon",,,,"Highfield Road, Impington","Market Street, Ely",10,,
"=""110""","Barrowcrofts, Histon",,,,"Highfield Road, Impington","Market Street, Ely",11,,
"=""110""","Parlour Close, Histon",,,,"Highfield Road, Impington","Market Street, Ely",12,,
"=""110""","Glebe Way, Histon",,,,"Highfield Road, Impington","Market Street, Ely",13,,
"=""110""","Cottenham Road, Histon",,,,"Highfield Road, Impington","Market Street, Ely",14,,
"=""110""","Bromlea, Histon",,,,"Highfield Road, Impington","Market Street, Ely",15,,
"=""110""","Apple Tree Close, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",16,,
"=""110""","Pastures, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",17,,
"=""110""","Between Close Drove, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",18,,
"=""110""","The Green, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",19,,
"=""110""","Oakington Road, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",20,,
"=""110""","Allotment Gardens, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",21,,
"=""110""","Rampton Road, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",22,,
"=""110""","King Street, Rampton",,,,"Highfield Road, Impington","Market Street, Ely",23,,
"=""110""","Rampton Road, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",24,,
"=""110""","Allotment Gardens, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",25,,
"=""110""","Oakington Road, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",26,,
"=""110""","The Green, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",27,,
"=""110""","Bramley Close, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",28,,
"=""110""","Denmark Road, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",29,,
"=""110""","Telegraph Street, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",30,,
"=""110""","Lambs Lane, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",31,,
"=""110""","Rooks Street, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",32,,
"=""110""","Broad Lane, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",33,,
"=""110""","Ivatt Street, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",34,,
"=""110""","Church Close, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",35,,
"=""110""","Brookfield Business Centre, Cottenham",,,,"Highfield Road, Impington","Market Street, Ely",36,,
"=""110""","Station Road, Wilburton",,,,"Highfield Road, Impington","Market Street, Ely",37,,
"=""110""","Millfield Place, Wilburton",,,,"Highfield Road, Impington","Market Street, Ely",38,,
"=""110""","Ely Road, Little Thetford",,,,"Highfield Road, Impington","Market Street, Ely",39,,
"=""110""","Tower Road, Ely",,,,"Highfield Road, Impington","Market Street, Ely",40,,
"=""110""","Mariott Drive, Ely",,,,"Highfield Road, Impington","Market Street, Ely",41,,
"=""110""","W Fen Road, Ely",,,,"Highfield Road, Impington","Market Street, Ely",42,,
"=""110""","Newnham Street, Ely",,,,"Highfield Road, Impington","Market Street, Ely",43,,
"=""110""","Market Street, Ely",,,,"Highfield Road, Impington","Market Street, Ely",44,,
"=""110""","Market Street, Ely",,,,"Market Street, Ely","Highfield Road, Impington",1,,2
"=""110""","Newnham Street, Ely",,,,"Market Street, Ely","Highfield Road, Impington",2,,
"=""110""","W Fen Road, Ely",,,,"Market Street, Ely","Highfield Road, Impington",3,,
"=""110""","Mariott Drive, Ely",,,,"Market Street, Ely","Highfield Road, Impington",4,,
"=""110""","Tower Road, Ely",,,,"Market Street, Ely","Highfield Road, Impington",5,,
"=""110""","Ely Road, Little Thetford",,,,"Market Street, Ely","Highfield Road, Impington",6,,
"=""110""","Millfield Place, Wilburton",,,,"Market Street, Ely","Highfield Road, Impington",7,,
"=""110""","Station Road, Wilburton",,,,"Market Street, Ely","Highfield Road, Impington",8,,
"=""110""","Brookfield Business Centre, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",9,,
"=""110""","Church Close, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",10,,
"=""110""","Ivatt Street, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",11,,
"=""110""","Broad Lane, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",12,,
"=""110""","Rooks Street, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",13,,
"=""110""","Lambs Lane, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",14,,
"=""110""","Telegraph Street, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",15,,
"=""110""","Denmark Road, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",16,,
"=""110""","Bramley Close, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",17,,
"=""110""","The Green, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",18,,
"=""110""","Oakington Road, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",19,,
"=""110""","Allotment Gardens, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",20,,
"=""110""","Rampton Road, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",21,,
"=""110""","King Street, Rampton",,,,"Market Street, Ely","Highfield Road, Impington",22,,
"=""110""","Rampton Road, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",23,,
"=""110""","Allotment Gardens, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",24,,
"=""110""","Oakington Road, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",25,,
"=""110""","The Green, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",26,,
"=""110""","Between Close Drove, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",27,,
"=""110""","Pastures, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",28,,
"=""110""","Apple Tree Close, Cottenham",,,,"Market Street, Ely","Highfield Road, Impington",29,,
"=""110""","Bromlea, Histon",,,,"Market Street, Ely","Highfield Road, Impington",30,,
"=""110""","Cottenham Road, Histon",,,,"Market Street, Ely","Highfield Road, Impington",31,,
"=""110""","Glebe Way, Histon",,,,"Market Street, Ely","Highfield Road, Impington",32,,
"=""110""","Parlour Close, Histon",,,,"Market Street, Ely","Highfield Road, Impington",33,,
"=""110""","Barrowcrofts, Histon",,,,"Market Street, Ely","Highfield Road, Impington",34,,
"=""110""","Winders Lane, Histon",,,,"Market Street, Ely","Highfield Road, Impington",35,,
"=""110""","School Hill, Histon",,,,"Market Street, Ely","Highfield Road, Impington",36,,
"=""110""","Pepys Terrace, Impington",,,,"Market Street, Ely","Highfield Road, Impington",37,,
"=""110""","Hereward Close, Impington",,,,"Market Street, Ely","Highfield Road, Impington",38,,
"=""110""","Village College, Impington",,,,"Market Street, Ely","Highfield Road, Impington",39,,
"=""110""","Macfarlane Close, Impington",,,,"Market Street, Ely","Highfield Road, Impington",40,,
